gornje baredine - baredine di sopra|7a|baredine - baredine
dalmatinska|17|poreč - parenzo
pazinska|12|poreč - parenzo
rovinjska|7|poreč - parenzo
motovunska|1|poreč - parenzo
ivana g. kovačića|14|poreč - parenzo
43. istarske divizije|10|poreč - parenzo
vukovarska|28|poreč - parenzo
ilirska ulica|37|poreč - parenzo
bračka|12|poreč - parenzo
pulska|53|poreč - parenzo
grožnjanska|24|poreč - parenzo
ivana g. kovačića|5a|poreč - parenzo
43. istarske divizije|18|poreč - parenzo
43. istarske divizije|47|poreč - parenzo
vrsarska|17|poreč - parenzo
ive andrića|23|poreč - parenzo
pulska|40|poreč - parenzo
43. istarske divizije|6|poreč - parenzo
dalmatinska|1|poreč - parenzo
humska|10|poreč - parenzo
pazinska|14|poreč - parenzo
rovinjska|29|poreč - parenzo
rovinjska|3|poreč - parenzo
ive andrića|29|poreč - parenzo
jadranska|7|poreč - parenzo
pazinska|4|poreč - parenzo
bračka|11|poreč - parenzo
jadranska|12|poreč - parenzo
ivana g. kovačića|18|poreč - parenzo
43. istarske divizije|30|poreč - parenzo
bračka|7|poreč - parenzo
ivana g. kovačića|17|poreč - parenzo
pazinska|2|poreč - parenzo
višnjanska|8|poreč - parenzo
43. istarske divizije|28|poreč - parenzo
franca prešerna|14a|poreč - parenzo
pulska|5|poreč - parenzo
ivana g. kovačića|15|poreč - parenzo
glagoljaška ulica|8|poreč - parenzo
pulska|39|poreč - parenzo
vukovarska|21|poreč - parenzo
43. istarske divizije|51|poreč - parenzo
pulska|6|poreč - parenzo
pulska|1|poreč - parenzo
ilirska ulica|35|poreč - parenzo
vrsarska|19|poreč - parenzo
korčulanska|10|poreč - parenzo
ilirska ulica|4|poreč - parenzo
pazinska|16|poreč - parenzo
dalmatinska|19|poreč - parenzo
ilirska ulica|7|poreč - parenzo
bračka|25|poreč - parenzo
dalmatinska|16|poreč - parenzo
gornji špadići|14|poreč - parenzo
pazinska|24|poreč - parenzo
43. istarske divizije|24|poreč - parenzo
mate vlašića|19|poreč - parenzo
dalmatinska|7|poreč - parenzo
pulska|12|poreč - parenzo
pulska|23|poreč - parenzo
43. istarske divizije|20|poreč - parenzo
vukovarska|23|poreč - parenzo
pulska|9|poreč - parenzo
korčulanska|14a|poreč - parenzo
43. istarske divizije|45|poreč - parenzo
pazinska|5|poreč - parenzo
ilirska ulica|5|poreč - parenzo
43. istarske divizije|32|poreč - parenzo
ilirska ulica|24|poreč - parenzo
pazinska|24a|poreč - parenzo
tarska|1|poreč - parenzo
primorska|9|poreč - parenzo
rovinjska|33|poreč - parenzo
pazinska|11|poreč - parenzo
ivana g. kovačića|22|poreč - parenzo
bračka|5|poreč - parenzo
vukovarska|26b|poreč - parenzo
mate vlašića|31|poreč - parenzo
ivana g. kovačića|29|poreč - parenzo
ivana g. kovačića|3|poreč - parenzo
ivana g. kovačića|27|poreč - parenzo
ilirska ulica|9|poreč - parenzo
pazinska|9|poreč - parenzo
pazinska|8a|poreč - parenzo
pazinska|13|poreč - parenzo
rovinjska|2|poreč - parenzo
43. istarske divizije|2|poreč - parenzo
bračka|3|poreč - parenzo
43. istarske divizije|26|poreč - parenzo
pulska|25|poreč - parenzo
pulska|30|poreč - parenzo
rovinjska|1|poreč - parenzo
bračka|27|poreč - parenzo
ilirska ulica|19|poreč - parenzo
ivana g. kovačića|21a|poreč - parenzo
primorska|2a|poreč - parenzo
bračka|4|poreč - parenzo
kaštelirska|23|poreč - parenzo
korčulanska|8|poreč - parenzo
pazinska|18|poreč - parenzo
43. istarske divizije|8|poreč - parenzo
vrsarska|27|poreč - parenzo
vukovarska|26|poreč - parenzo
vrsarska|33|poreč - parenzo
ilirska ulica|41|poreč - parenzo
ivana g. kovačića|19|poreč - parenzo
vrsarska|41|poreč - parenzo
tarska|8|poreč - parenzo
vukovarska|22|poreč - parenzo
gornji špadići|3|poreč - parenzo
dalmatinska|18|poreč - parenzo
43. istarske divizije|14|poreč - parenzo
dalmatinska|13|poreč - parenzo
pazinska|3|poreč - parenzo
višnjanska|12|poreč - parenzo
tarska|10|poreč - parenzo
pazinska|8|poreč - parenzo
ilirska ulica|1|poreč - parenzo
pazinska|15|poreč - parenzo
vrsarska|29|poreč - parenzo
pulska|9a|poreč - parenzo
ivana g. kovačića|11|poreč - parenzo
pazinska|10|poreč - parenzo
jadranska|12b|poreč - parenzo
ivana g. kovačića|5|poreč - parenzo
pulska|30a|poreč - parenzo
rovinjska|27|poreč - parenzo
ilirska ulica|2|poreč - parenzo
dalmatinska|12|poreč - parenzo
vrsarska|39|poreč - parenzo
bračka|1|poreč - parenzo
bračka|9|poreč - parenzo
višnjanska|4|poreč - parenzo
korčulanska|16|poreč - parenzo
franca prešerna|20|poreč - parenzo
vukovarska|27|poreč - parenzo
glagoljaška ulica|14|poreč - parenzo
franca prešerna|24|poreč - parenzo
43. istarske divizije|16|poreč - parenzo
43. istarske divizije|4|poreč - parenzo
mate vlašića|23|poreč - parenzo
pulska|14|poreč - parenzo
tarska|2|poreč - parenzo
jadranska|1|poreč - parenzo
višnjanska|2|poreč - parenzo
rovinjska|19|poreč - parenzo
ivana g. kovačića|13|poreč - parenzo
pazinska|22|poreč - parenzo
ilirska ulica|3|poreč - parenzo
mate vlašića|33|poreč - parenzo
franca prešerna|14|poreč - parenzo
rovinjska|6|poreč - parenzo
bračka|17|poreč - parenzo
jadranska|5|poreč - parenzo
dalmatinska|14|poreč - parenzo
ivana g. kovačića|23|poreč - parenzo
mate vlašića|21|poreč - parenzo
ulica tridesetog travnja|10a|poreč - parenzo
ive andrića|25|poreč - parenzo
gornji špadići|4|poreč - parenzo
pulska|55|poreč - parenzo
rovinjska|31|poreč - parenzo
dalmatinska|5|poreč - parenzo
pulska|19|poreč - parenzo
ilirska ulica|22|poreč - parenzo
vukovarska|31|poreč - parenzo
43. istarske divizije|49|poreč - parenzo
vrsarska|25|poreč - parenzo
ivana g. kovačića|20a|poreč - parenzo
jadranska|3|poreč - parenzo
pulska|34|poreč - parenzo
vukovarska|24|poreč - parenzo
vrsarska|31|poreč - parenzo
dalmatinska|19a|poreč - parenzo
jadranska|14|poreč - parenzo
kaštelirska|1|poreč - parenzo
kaštelirska|3|poreč - parenzo
kaštelirska|5|poreč - parenzo
kaštelirska|7|poreč - parenzo
kaštelirska|9|poreč - parenzo
kaštelirska|11|poreč - parenzo
kaštelirska|13|poreč - parenzo
kaštelirska|15|poreč - parenzo
kaštelirska|17|poreč - parenzo
kaštelirska|19|poreč - parenzo
dalmatinska|15b|poreč - parenzo
rovinjska|12|poreč - parenzo
podupci|36|poreč - parenzo
kampi|17|poreč - parenzo
kampi|9|poreč - parenzo
kampi|7|poreč - parenzo
kampi|15|poreč - parenzo
kampi|13|poreč - parenzo
kampi|11|poreč - parenzo
santarija|3|poreč - parenzo
gregovo i|6|poreč - parenzo
gregovo i|8|poreč - parenzo
gregovo i|10|poreč - parenzo
gregovo i|12|poreč - parenzo
podupci|1a|poreč - parenzo
podupci|1|poreč - parenzo
podupci|7|poreč - parenzo
podupci|5|poreč - parenzo
podupci|3|poreč - parenzo
podupci|2|poreč - parenzo
podupci|4|poreč - parenzo
kvajera|13|poreč - parenzo
kvajera|15|poreč - parenzo
stancija|5a|poreč - parenzo
stancija|3|poreč - parenzo
stancija|13|poreč - parenzo
kvajera|10a|poreč - parenzo
stancija|5|poreč - parenzo
stancija|7|poreč - parenzo
kvajera|2a|poreč - parenzo
kvajera|6a|poreč - parenzo
kvajera|6|poreč - parenzo
kvajera|4|poreč - parenzo
kvajera|2|poreč - parenzo
stancija|4|poreč - parenzo
stancija|2|poreč - parenzo
kampi|4|poreč - parenzo
palacina|18|poreč - parenzo
plava laguna|15|poreč - parenzo
gašpara kalčića|20|poreč - parenzo
brionska|21|poreč - parenzo
mate vlašića|28a|poreč - parenzo
medulinska|77|poreč - parenzo
rade končara|11|poreč - parenzo
ive lole ribara|2|poreč - parenzo
rade končara|9|poreč - parenzo
franca prešerna|2|poreč - parenzo
franca prešerna|6|poreč - parenzo
franca prešerna|4|poreč - parenzo
franca prešerna|10|poreč - parenzo
franca prešerna|8|poreč - parenzo
materada|31/2|poreč - parenzo
materada|31/11|poreč - parenzo
materada|31/5|poreč - parenzo
materada|31/3|poreč - parenzo
materada|31/8|poreč - parenzo
materada|31/7|poreč - parenzo
materada|31/1|poreč - parenzo
materada|31/6|poreč - parenzo
materada|31/9|poreč - parenzo
materada|31/4|poreč - parenzo
matea benussi cio|7a|poreč - parenzo
gornji špadići|30|poreč - parenzo
gornji špadići|32|poreč - parenzo
gornji špadići|28|poreč - parenzo
špadići|66b|poreč - parenzo
špadići|66a|poreč - parenzo
špadići|66|poreč - parenzo
trg slobode|11|poreč - parenzo
prolaz peškera|2|poreč - parenzo
trg slobode|10|poreč - parenzo
trg slobode|9|poreč - parenzo
prolaz peškera|4|poreč - parenzo
nikole tesle|3|poreč - parenzo
pietra kandlera|5a|poreč - parenzo
pietra kandlera|9|poreč - parenzo
ulica bože milanovića|20|poreč - parenzo
pietra kandlera|11|poreč - parenzo
ulica bože milanovića|18|poreč - parenzo
ulica bože milanovića|16|poreč - parenzo
ulica bože milanovića|14|poreč - parenzo
rade končara|1b|poreč - parenzo
korčulanska|3|poreč - parenzo
pošeš|7a|poreč - parenzo
motovunska|9a|poreč - parenzo
motovunska|17|poreč - parenzo
motovunska|13|poreč - parenzo
motovunska|11|poreč - parenzo
motovunska|9|poreč - parenzo
motovunska|23|poreč - parenzo
motovunska|21|poreč - parenzo
motovunska|19|poreč - parenzo
motovunska|15|poreč - parenzo
trg matije gupca|1|poreč - parenzo
decumanus|19|poreč - parenzo
trg matije gupca|19|poreč - parenzo
sv. maura|26|poreč - parenzo
sv. maura|24|poreč - parenzo
sv. maura|22|poreč - parenzo
sv. maura|20|poreč - parenzo
trg frana supila|5|poreč - parenzo
trg matije gupca|3|poreč - parenzo
trg matije gupca|2|poreč - parenzo
trg matije gupca|12|poreč - parenzo
obala maršala tita|23|poreč - parenzo
obala maršala tita|21|poreč - parenzo
matea brnobića|7|poreč - parenzo
matea brnobića|5|poreč - parenzo
matea brnobića|2|poreč - parenzo
obala maršala tita|22|poreč - parenzo
matea brnobića|9|poreč - parenzo
matea brnobića|3|poreč - parenzo
matea brnobića|1|poreč - parenzo
trg matije gupca|5c|poreč - parenzo
trg matije gupca|5d|poreč - parenzo
trg matije gupca|10|poreč - parenzo
trg matije gupca|8|poreč - parenzo
trg matije gupca|10a|poreč - parenzo
obala maršala tita|19|poreč - parenzo
obala maršala tita|18a|poreč - parenzo
obala maršala tita|18|poreč - parenzo
obala maršala tita|18b|poreč - parenzo
trg matije gupca|5e|poreč - parenzo
trg matije gupca|9|poreč - parenzo
trg matije gupca|7|poreč - parenzo
trg matije gupca|6|poreč - parenzo
trg matije gupca|6a|poreč - parenzo
obala maršala tita|19a|poreč - parenzo
trg matije gupca|11|poreč - parenzo
obala maršala tita|20|poreč - parenzo
bračka|1b|poreč - parenzo
bračka|3a|poreč - parenzo
bračka|3b|poreč - parenzo
bračka|3c|poreč - parenzo
otokara keršovanija|2a|poreč - parenzo
otokara keršovanija|2|poreč - parenzo
otokara keršovanija|4|poreč - parenzo
jože šurana|1|poreč - parenzo
otokara keršovanija|2b|poreč - parenzo
jože šurana|3|poreč - parenzo
jože šurana|1a|poreč - parenzo
jože šurana|5|poreč - parenzo
jože šurana|7|poreč - parenzo
jože šurana|9|poreč - parenzo
jože šurana|11|poreč - parenzo
mira grahalića|1|poreč - parenzo
mira grahalića|3|poreč - parenzo
otokara keršovanija|10|poreč - parenzo
otokara keršovanija|12|poreč - parenzo
otokara keršovanija|6|poreč - parenzo
otokara keršovanija|8|poreč - parenzo
otokara keršovanija|7a|poreč - parenzo
otokara keršovanija|7|poreč - parenzo
decumanus|4|poreč - parenzo
decumanus|6|poreč - parenzo
decumanus|2|poreč - parenzo
eufrazijeva|8|poreč - parenzo
humska|16|poreč - parenzo
medulinska|64|poreč - parenzo
humska|26|poreč - parenzo
humska|20a|poreč - parenzo
medulinska|93|poreč - parenzo
humska|12|poreč - parenzo
humska|14|poreč - parenzo
humska|18|poreč - parenzo
medulinska|66|poreč - parenzo
humska|20|poreč - parenzo
humska|30|poreč - parenzo
humska|22|poreč - parenzo
gregovo i|2|poreč - parenzo
gregovo i|4|poreč - parenzo
gregovo i|1|poreč - parenzo
kvajera|11|poreč - parenzo
kvajera|7|poreč - parenzo
gregovo i|3|poreč - parenzo
gregovo i|5|poreč - parenzo
gregovo i|7|poreč - parenzo
gregovo ii|1|poreč - parenzo
gregovo ii|2|poreč - parenzo
gregovo ii|3|poreč - parenzo
gregovo ii|4|poreč - parenzo
gregovo ii|5|poreč - parenzo
gregovo ii|6|poreč - parenzo
gregovo iii|2|poreč - parenzo
gregovo iii|3|poreč - parenzo
gregovo iii|4|poreč - parenzo
gregovo iii|5|poreč - parenzo
gregovo iii|6|poreč - parenzo
gregovo iii|7|poreč - parenzo
gregovo iii|8|poreč - parenzo
gregovo iii|9|poreč - parenzo
gregovo iii|10|poreč - parenzo
gregovo iii|12|poreč - parenzo
kvajera|1|poreč - parenzo
kvajera|3|poreč - parenzo
kvajera|5|poreč - parenzo
kvajera|9|poreč - parenzo
kvajera|1a|poreč - parenzo
gregovo ii|3a|poreč - parenzo
eufrazijeva|10|poreč - parenzo
eufrazijeva|14|poreč - parenzo
eufrazijeva|20a|poreč - parenzo
decumanus|16|poreč - parenzo
decumanus|20|poreč - parenzo
matije vlačića|3|poreč - parenzo
stj. konzula istranina|3|poreč - parenzo
stj. konzula istranina|4|poreč - parenzo
eufrazijeva|3|poreč - parenzo
decumanus|18a|poreč - parenzo
eufrazijeva|2|poreč - parenzo
eufrazijeva|19|poreč - parenzo
eufrazijeva|21|poreč - parenzo
eufrazijeva|23|poreč - parenzo
eufrazijeva|27|poreč - parenzo
eufrazijeva|9|poreč - parenzo
eufrazijeva|20|poreč - parenzo
eufrazijeva|16|poreč - parenzo
decumanus|8|poreč - parenzo
decumanus|18|poreč - parenzo
eufrazijeva|7|poreč - parenzo
eufrazijeva|15|poreč - parenzo
eufrazijeva|17|poreč - parenzo
eufrazijeva|25|poreč - parenzo
matije vlačića|1|poreč - parenzo
matije vlačića|2|poreč - parenzo
matije vlačića|5|poreč - parenzo
matije vlačića|7|poreč - parenzo
stj. konzula istranina|1|poreč - parenzo
stj. konzula istranina|2|poreč - parenzo
stj. konzula istranina|6|poreč - parenzo
stj. konzula istranina|8|poreč - parenzo
eufrazijeva|1|poreč - parenzo
eufrazijeva|5|poreč - parenzo
eufrazijeva|11|poreč - parenzo
eufrazijeva|13|poreč - parenzo
matije vlačića|2a|poreč - parenzo
decumanus|18b|poreč - parenzo
eufrazijeva|15a|poreč - parenzo
eufrazijeva|23a|poreč - parenzo
eufrazijeva|4|poreč - parenzo
eufrazijeva|6|poreč - parenzo
eufrazijeva|22|poreč - parenzo
eufrazijeva|12|poreč - parenzo
park jurja dobrile|3|poreč - parenzo
park jurja dobrile|5|poreč - parenzo
park jurja dobrile|7|poreč - parenzo
sv. eleuterija|1|poreč - parenzo
decumanus|22|poreč - parenzo
eufrazijeva|31|poreč - parenzo
josipa voltića|1|poreč - parenzo
josipa voltića|6|poreč - parenzo
sv. eleuterija|2|poreč - parenzo
eufrazijeva|29|poreč - parenzo
sv. eleuterija|1b|poreč - parenzo
eufrazijeva|24a|poreč - parenzo
eufrazijeva|24|poreč - parenzo
eufrazijeva|39|poreč - parenzo
decumanus|30|poreč - parenzo
decumanus|26b|poreč - parenzo
decumanus|28|poreč - parenzo
josipa voltića|4|poreč - parenzo
sv. eleuterija|6|poreč - parenzo
decumanus|32|poreč - parenzo
eufrazijeva|43|poreč - parenzo
decumanus|17|poreč - parenzo
decumanus|15|poreč - parenzo
decumanus|24|poreč - parenzo
decumanus|26|poreč - parenzo
cardo maximus|2|poreč - parenzo
cardo maximus|4|poreč - parenzo
cardo maximus|6|poreč - parenzo
eufrazijeva|33|poreč - parenzo
eufrazijeva|35|poreč - parenzo
eufrazijeva|37|poreč - parenzo
josipa voltića|2|poreč - parenzo
sv. eleuterija|4|poreč - parenzo
sv. eleuterija|3|poreč - parenzo
eufrazijeva|24c|poreč - parenzo
eufrazijeva|24b|poreč - parenzo
eufrazijeva|41|poreč - parenzo
eufrazijeva|24d|poreč - parenzo
dinka trinajstića|1|poreč - parenzo
dinka trinajstića|2|poreč - parenzo
dinka trinajstića|3|poreč - parenzo
dinka trinajstića|4|poreč - parenzo
dinka trinajstića|5|poreč - parenzo
dinka trinajstića|6|poreč - parenzo
dinka trinajstića|7|poreč - parenzo
dinka trinajstića|8|poreč - parenzo
dinka trinajstića|9|poreč - parenzo
dinka trinajstića|10|poreč - parenzo
dinka trinajstića|11|poreč - parenzo
dinka trinajstića|12|poreč - parenzo
dinka trinajstića|13|poreč - parenzo
dinka trinajstića|14|poreč - parenzo
dinka trinajstića|15|poreč - parenzo
dinka trinajstića|16|poreč - parenzo
dinka trinajstića|17|poreč - parenzo
dinka trinajstića|19|poreč - parenzo
bernarda parentina|10|poreč - parenzo
bernarda parentina|11|poreč - parenzo
bernarda parentina|12|poreč - parenzo
bernarda parentina|13|poreč - parenzo
bernarda parentina|14|poreč - parenzo
bernarda parentina|15|poreč - parenzo
bernarda parentina|16|poreč - parenzo
bernarda parentina|17|poreč - parenzo
bernarda parentina|18|poreč - parenzo
bernarda parentina|19|poreč - parenzo
bernarda parentina|1|poreč - parenzo
bernarda parentina|2|poreč - parenzo
bernarda parentina|3|poreč - parenzo
bernarda parentina|4|poreč - parenzo
bernarda parentina|5|poreč - parenzo
bernarda parentina|6|poreč - parenzo
bernarda parentina|7|poreč - parenzo
bernarda parentina|8|poreč - parenzo
bernarda parentina|9|poreč - parenzo
petra preradovića|1|poreč - parenzo
petra preradovića|3|poreč - parenzo
petra preradovića|3a|poreč - parenzo
petra preradovića|5|poreč - parenzo
dinka trinajstića|7a|poreč - parenzo
ivana g. kovačića|6a|poreč - parenzo
pošeš|1|poreč - parenzo
vala|2|poreč - parenzo
vala|1|poreč - parenzo
vala|3|poreč - parenzo
vala|5|poreč - parenzo
vala|7|poreč - parenzo
vala|9|poreč - parenzo
vala|11|poreč - parenzo
zagrebačka|2|poreč - parenzo
zagrebačka|4|poreč - parenzo
vukovarska|19|poreč - parenzo
vukovarska|19a|poreč - parenzo
vukovarska|19b|poreč - parenzo
karla huguesa|32|poreč - parenzo
narodni trg|5|poreč - parenzo
bruno valenti|109|poreč - parenzo
bruno valenti|111|poreč - parenzo
podupci|26|poreč - parenzo
molindrio|9a|poreč - parenzo
bernarda parentina|5a|poreč - parenzo
trg antona grabara|1|poreč - parenzo
trg frana supila|3|poreč - parenzo
trg frana supila|7|poreč - parenzo
sv. eleuterija|8|poreč - parenzo
sv. eleuterija|10|poreč - parenzo
sv. eleuterija|14|poreč - parenzo
sv. maura|14|poreč - parenzo
sv. maura|16|poreč - parenzo
sv. maura|16a|poreč - parenzo
sv. maura|18|poreč - parenzo
decumanus|13|poreč - parenzo
decumanus|11|poreč - parenzo
trg frana supila|2|poreč - parenzo
trg frana supila|4|poreč - parenzo
trg frana supila|6|poreč - parenzo
sv. eleuterija|12|poreč - parenzo
trg frana supila|1|poreč - parenzo
vinja|3a|poreč - parenzo
materada|32|poreč - parenzo
stancija vodopija - stanzia bevilacqua|33|stancija vodopija - stanzia bevilacqua
istarska|3|poreč - parenzo
istarska|3a|poreč - parenzo
istarska|4|poreč - parenzo
